Team,Player,PPG,APG,Conf
West Virginia,Chance Moore,10.4,0.7,BIG-12
TCU,Jayden Pierre,10.2,2.6,BIG-12
Oklahoma State,Jaylen Curry,10.0,3.8,BIG-12
Oklahoma State,Kanye Clary,9.9,4.7,BIG-12
Arizona,Ivan Kharchenkov,9.8,2.3,BIG-12
West Virginia,Treysen Eaglestaff,9.7,1.6,BIG-12
Arizona,Tobe Awaka,9.6,0.9,BIG-12
Baylor,Daniel Skillings Jr.,9.6,2.1,BIG-12
Houston,Chris Cenac Jr.,9.5,0.8,BIG-12
Oklahoma State,Christian Coleman,9.5,1.0,BIG-12
Kansas State,Khamari McGriff,9.3,1.1,BIG-12
Texas Tech,Jaylen Petty,9.3,2.1,BIG-12
Arizona,Anthony Dell'Orso,9.0,2.1,BIG-12
Utah,Seydou Traore,9.0,2.0,BIG-12
Kansas,Bryson Tiller,8.5,1.1,BIG-12
Iowa State,Killyan Toure,8.4,2.3,BIG-12
TCU,Brock Harding,8.3,5.9,BIG-12
Iowa State,Blake Buchanan,8.2,1.5,BIG-12
Arizona State,Santiago Trouet,8.0,0.9,BIG-12
Cincinnati,Jalen Celestine,8.0,1.2,BIG-12
TCU,Liutauras Lelevicius,8.0,0.7,BIG-12
Houston,Joseph Tugler,7.9,1.1,BIG-12
TCU,Tanner Toolson,7.8,1.0,BIG-12
Brigham Young,Kennard Davis,7.7,1.2,BIG-12
Cincinnati,Shon Abaev,7.7,1.2,BIG-12
Baylor,Michael Rataj,7.6,1.9,BIG-12
Brigham Young,Dawson Baker,7.5,0.5,BIG-12
Arizona State,Bryce Ford,7.2,0.8,BIG-12
Utah,Jacob Patrick,7.2,0.5,BIG-12
Colorado,Alon Michaeli,7.0,1.1,BIG-12
West Virginia,Jasper Floyd,7.0,3.2,BIG-12
Baylor,Caden Powell,6.8,1.3,BIG-12
Iowa State,Jamarion Batemon,6.8,0.4,BIG-12
Arizona State,Andrija Grbovic,6.6,0.4,BIG-12
West Virginia,DJ Thomas,6.6,0.6,BIG-12
UCF,Chris Johnson,6.5,2.0,BIG-12
Oklahoma State,Isaiah Coleman,6.4,0.9,BIG-12
Brigham Young,Keba Keita,6.2,0.4,BIG-12
Cincinnati,Sencire Harris,6.1,1.5,BIG-12
UCF,John Bol,5.9,0.3,BIG-12
Arizona State,Allen David Mukeba,5.8,0.8,BIG-12
Arizona State,Noah Meeusen,5.8,2.6,BIG-12
Cincinnati,Kerr Kriisa,5.8,3.0,BIG-12
UCF,Devan Cambridge,5.7,0.9,BIG-12
Oklahoma State,Andrija Vukovic,5.3,0.6,BIG-12
Utah,Kendyl Sanders,5.2,0.7,BIG-12
West Virginia,Harlan Obioha,5.2,0.8,BIG-12
UCF,Carmelo Pacheco,5.1,0.4,BIG-12
Iowa State,Nate Heise,5.1,1.5,BIG-12
Kansas State,Andrej Kostic,5.1,1.0,BIG-12
Texas Tech,Luke Bamgboye,5.1,0.6,BIG-12
Baylor,James Goodis,5.0,0.0,BIG-12
Arizona,Dwayne Aristode,4.7,0.8,BIG-12
Kansas,Elmarko Jackson,4.7,1.6,BIG-12
Colorado,Jalin Holland,4.6,0.9,BIG-12
TCU,Jace Posey,4.6,0.2,BIG-12
Colorado,Felix Kossaras,4.4,0.5,BIG-12
Colorado,Josiah Sanders,4.4,1.7,BIG-12
Houston,Mercy Miller,4.4,0.4,BIG-12
Oklahoma State,Lefteris Mantzoukas,4.4,0.5,BIG-12
Texas Tech,Josiah Moseley,4.4,0.6,BIG-12
West Virginia,Jackson Fields,4.3,1.1,BIG-12
Colorado,Elijah Malone,4.2,0.8,BIG-12
Houston,Isiah Harwell,4.2,0.6,BIG-12
Iowa State,Dominick Nelson,4.2,0.3,BIG-12
Iowa State,Dominykas Pleta,4.2,0.5,BIG-12
Kansas State,Taj Manning,4.1,1.0,BIG-12
Kansas State,Elias Rapieque,4.0,1.5,BIG-12
Brigham Young,Aleksej KostiÄ,3.9,0.4,BIG-12
Texas Tech,Tyeree Bryan,3.9,0.6,BIG-12
UCF,Jeremy Foumena,3.8,0.2,BIG-12
UCF,George Beale,3.7,0.3,BIG-12
Kansas,Jamari McDowell,3.7,1.2,BIG-12
Oklahoma State,Robert Jennings,3.7,0.0,BIG-12
Arizona State,Marcus Adams Jr.,3.6,0.2,BIG-12
Colorado,Ian Inman,3.6,0.3,BIG-12
West Virginia,Amir Jenkins,3.6,2.1,BIG-12
TCU,Kayden Edwards,3.5,0.6,BIG-12
Cincinnati,Keyshuan Tillery,3.4,1.8,BIG-12
Houston,Chase McCarty,3.4,0.2,BIG-12
Kansas State,Christian Jones,3.4,1.3,BIG-12
Brigham Young,Mihailo Boskovic,3.3,0.7,BIG-12
Kansas State,Dorin Buca,3.2,0.5,BIG-12
Oklahoma State,Benjamin Ahmed,3.2,0.2,BIG-12
Kansas,Kohl Rosario,3.1,0.4,BIG-12
Utah,Josh Hayes,3.0,0.2,BIG-12
Oklahoma State,Ryan Crotty,2.9,0.3,BIG-12
TCU,RJ Jones,2.9,0.9,BIG-12
Utah,James Okonkwo,2.9,0.8,BIG-12
Houston,Kalifa Sakho,2.6,0.1,BIG-12
Houston,Ramon Walker Jr.,2.5,0.5,BIG-12
Utah,Obomate Abbey,2.5,2.3,BIG-12
Texas Tech,Leon Horner,2.4,0.1,BIG-12
Baylor,Will Kuykendall,2.3,0.1,BIG-12
Cincinnati,Halvine Dzellat,2.3,0.1,BIG-12
Cincinnati,Jordi Rodriguez,2.3,0.5,BIG-12
Brigham Young,Khadim Mboup,2.2,0.4,BIG-12
Brigham Young,Tyler Mrus,2.2,0.3,BIG-12
Kansas,Jayden Dawson,2.2,0.6,BIG-12
Kansas State,Marcus Johnson,2.0,0.5,BIG-12
Kansas State,Mobi Ikegwuruka,1.9,0.4,BIG-12
UCF,Kris Parker,1.8,0.3,BIG-12
Cincinnati,Tyler McKinley,1.8,0.7,BIG-12
Colorado,Andrew Crawford,1.8,0.0,BIG-12
Utah,Lucas Langarita,1.7,0.7,BIG-12
Brigham Young,Dominique Diomande,1.6,0.2,BIG-12
Kansas,Nginyu Ngala,1.6,0.3,BIG-12
Baylor,James Nnaji,1.5,0.1,BIG-12
Baylor,JJ White,1.5,0.0,BIG-12
Brigham Young,Abdullah Ahmed,1.5,0.4,BIG-12
Utah,Ibi Traore,1.5,0.0,BIG-12
West Virginia,Morris Ugusuk,1.5,0.2,BIG-12
Baylor,Drew Perry,1.4,0.0,BIG-12
Texas Tech,Marial Akuentok,1.4,0.2,BIG-12
Arizona,Sidi Gueye,1.3,0.2,BIG-12
Houston,Kordelius Jefferson,1.3,0.3,BIG-12
TCU,Ashton Simmons,1.3,0.3,BIG-12
Utah,Jahki Howard,1.3,0.2,BIG-12
UCF,Elijah Hulsewe,1.2,0.2,BIG-12
TCU,Vianney Salatchoum,1.2,0.1,BIG-12
West Virginia,Jayden Forsythe,1.2,0.0,BIG-12
Arizona State,Trevor Best,1.1,0.1,BIG-12
Iowa State,Cade Kelderman,1.1,0.9,BIG-12
Colorado,Nick Randall,1.0,0.0,BIG-12
Iowa State,Xzavion Mitchell,1.0,0.0,BIG-12
Oklahoma State,Daniel Guetta,1.0,0.9,BIG-12
Texas Tech,Nolan Groves,1.0,0.3,BIG-12
Iowa State,Eric Mulder,0.9,0.2,BIG-12
Colorado,Fawaz Ifaola,0.8,0.3,BIG-12
Oklahoma State,Mekhi Ragland,0.8,0.1,BIG-12
Kansas State,Stephen Osei,0.7,0.0,BIG-12
Texas Tech,Jazz Henderson,0.7,0.4,BIG-12
Arizona,Sven Djopmo,0.6,0.3,BIG-12
Brigham Young,Xavion Staton,0.6,0.3,BIG-12
Houston,Cedric Lath,0.6,0.1,BIG-12
Kansas,Paul Mbiya,0.6,0.0,BIG-12
Kansas,Wilder Evers,0.6,0.0,BIG-12
Arizona,Evan Nelson,0.5,0.3,BIG-12
Arizona,Jackson Francois,0.5,0.0,BIG-12
UCF,Poohpha Warakulnukroh,0.5,0.0,BIG-12
Oklahoma State,Kirk Cole,0.5,0.3,BIG-12
TCU,Adam Stewart,0.5,0.0,BIG-12
Arizona,Addison Arnold,0.4,0.2,BIG-12
Kansas,Samis Calderon,0.4,0.3,BIG-12
Iowa State,Anthony Rise,0.3,0.0,BIG-12
Arizona,Jackson Cook,0.0,0.0,BIG-12
Arizona State,Kash Polk,0.0,0.0,BIG-12
Arizona State,Quentin McCoy,0.0,0.0,BIG-12
Brigham Young,Jared McGregor,0.0,0.3,BIG-12
UCF,Zachary Johnson,0.0,0.0,BIG-12
Cincinnati,Grant Darbyshire,0.0,0.0,BIG-12
Houston,Jacob McFarland,0.0,0.0,BIG-12
Kansas,Justin Cross,0.0,0.2,BIG-12
Kansas,Will Thengvall,0.0,0.0,BIG-12
TCU,Drew McElroy,0.0,0.0,BIG-12
TCU,Malick Diallo,0.0,0.0,BIG-12
TCU,Trey Stuart,0.0,0.0,BIG-12
Texas Tech,Jack Francis,0.0,0.0,BIG-12
Utah,Elijah Moore,0.0,0.0,BIG-12
Utah,Jerry Huang,0.0,0.0,BIG-12
West Virginia,Abraham Oyeadier,0.0,0.0,BIG-12
West Virginia,Niyol Hauet,0.0,0.0,BIG-12
Northwestern,Nick Martinelli,22.7,1.9,BIG-TEN
Indiana,Lamar Wilkerson,21.1,2.4,BIG-TEN
Iowa,Bennett Stirtz,20.5,4.5,BIG-TEN
Southern California,Rodney Rice,20.3,6.0,BIG-TEN
Wisconsin,Nick Boyd,20.0,3.9,BIG-TEN
Ohio State,Bruce Thornton,19.9,3.8,BIG-TEN
Minnesota,Cade Tyson,19.7,2.3,BIG-TEN
Southern California,Chad Baker-Mazara,18.5,2.8,BIG-TEN
Washington,Hannes Steinbach,18.3,1.6,BIG-TEN
Illinois,Keaton Wagler,18.1,4.3,BIG-TEN
Wisconsin,John Blackwell,18.1,2.4,BIG-TEN
Nebraska,Pryce Sandfort,18.0,1.9,BIG-TEN
UCLA,Tyler Bilodeau,18.0,1.0,BIG-TEN
Maryland,Pharrel Payne,17.5,1.4,BIG-TEN
Oregon,Nathan Bittle,16.9,2.5,BIG-TEN
Rutgers,Tariq Francis,16.9,2.8,BIG-TEN
Ohio State,John Mobley Jr.,15.8,2.8,BIG-TEN
Oregon,Jackson Shelstad,15.6,4.9,BIG-TEN
Michigan State,Jeremy Fears Jr.,15.3,9.1,BIG-TEN
Washington,Zoom Diallo,15.3,4.2,BIG-TEN
Southern California,Ezra Ausar,15.0,1.7,BIG-TEN
Purdue,Braden Smith,14.7,8.7,BIG-TEN
Michigan,Yaxel Lendeborg,14.3,3.2,BIG-TEN
Southern California,Alijah Arenas,14.3,1.9,BIG-TEN
Ohio State,Devin Royal,14.0,1.7,BIG-TEN
Penn State,Freddie Dilione V,14.0,2.2,BIG-TEN
Indiana,Tucker DeVries,13.8,3.1,BIG-TEN
Penn State,Kayden Mingo,13.7,4.3,BIG-TEN
Maryland,David Coit,13.6,2.8,BIG-TEN
Nebraska,Rienk Mast,13.6,3.0,BIG-TEN
Illinois,Andrej Stojakovic,13.5,1.1,BIG-TEN
Michigan,Morez Johnson Jr.,13.5,1.1,BIG-TEN
Illinois,Kylan Boswell,13.4,3.4,BIG-TEN
Minnesota,Jaylen Crocker-Johnson,13.4,1.8,BIG-TEN
Purdue,Fletcher Loyer,13.3,1.9,BIG-TEN
Purdue,Trey Kaufman-Renn,13.3,2.7,BIG-TEN
Washington,Desmond Claude,13.3,1.9,BIG-TEN
Wisconsin,Nolan Winter,13.3,1.5,BIG-TEN
UCLA,Donovan Dent,13.2,7.5,BIG-TEN
Oregon,Kwame Evans Jr.,13.1,2.0,BIG-TEN
Illinois,David Mirkovic,12.9,2.5,BIG-TEN
Washington,Wesley Yates III,12.9,1.3,BIG-TEN
Michigan State,Jaxon Kohler,12.5,1.2,BIG-TEN
UCLA,Trent Perry,12.5,2.6,BIG-TEN
Oregon,TK Simpkins,12.4,2.2,BIG-TEN
UCLA,Skyy Clark,12.4,2.1,BIG-TEN
Nebraska,Braden Frager,11.9,0.9,BIG-TEN
Maryland,Andre Mills,11.8,1.5,BIG-TEN
Michigan State,Coen Carr,11.7,1.2,BIG-TEN
Michigan,Aday Mara,11.5,2.4,BIG-TEN
Minnesota,Langston Reynolds,11.4,4.5,BIG-TEN
Penn State,Josh Reed,11.4,1.0,BIG-TEN
Minnesota,Isaac Asuma,11.1,3.8,BIG-TEN
Ohio State,Christoph Tilly,11.1,2.3,BIG-TEN
UCLA,Eric Dailey Jr.,11.0,1.3,BIG-TEN
Maryland,Darius Adams,10.6,1.6,BIG-TEN
Iowa,Tavion Banks,10.4,1.2,BIG-TEN
Michigan State,Carson Cooper,10.4,1.4,BIG-TEN
Illinois,Tomislav Ivisic,10.3,1.6,BIG-TEN
Maryland,Solomon Washington,10.2,1.0,BIG-TEN
Northwestern,Arrinten Page,10.2,1.8,BIG-TEN
Rutgers,Dylan Grant,10.2,0.5,BIG-TEN
Michigan,Elliot Cadeau,10.1,5.6,BIG-TEN
Minnesota,Bobby Durkin,10.1,1.9,BIG-TEN
Northwestern,Jayden Reid,10.1,4.9,BIG-TEN
Nebraska,Jamarques Lawrence,9.9,4.0,BIG-TEN
Purdue,Oscar Cluff,9.8,1.6,BIG-TEN
Southern California,Jacob Cofie,9.8,2.0,BIG-TEN
Indiana,Tayton Conerway,9.6,3.5,BIG-TEN
Nebraska,Sam Hoiberg,9.6,4.4,BIG-TEN
Michigan,Trey McKenney,9.5,0.8,BIG-TEN
Ohio State,Amare Bynum,9.5,0.9,BIG-TEN
Penn State,Ivan Juric,9.5,0.7,BIG-TEN
Wisconsin,Austin Rapp,9.3,1.5,BIG-TEN
Maryland,Elijah Saunders,9.1,1.0,BIG-TEN
Indiana,Sam Alexis,8.7,1.3,BIG-TEN
Purdue,C.J. Cox,8.7,1.3,BIG-TEN
Washington,Quimari Peterson,8.7,2.1,BIG-TEN
Wisconsin,Braeden Carrington,8.6,1.0,BIG-TEN
Rutgers,Darren Buchanan Jr.,8.5,1.5,BIG-TEN
Indiana,Nick Dorn,8.4,0.3,BIG-TEN
Michigan,L.J. Cason,8.4,2.4,BIG-TEN
Indiana,Reed Bailey,8.3,1.2,BIG-TEN
Iowa,Alvaro Folgueiras,8.3,2.2,BIG-TEN
Michigan,Nimari Burnett,8.3,1.3,BIG-TEN
Southern California,Kam Woods,8.1,3.6,BIG-TEN
Penn State,Melih Tunca,8.0,2.3,BIG-TEN
Northwestern,Tre Singleton,7.6,1.5,BIG-TEN
Michigan State,Kur Teng,7.5,1.0,BIG-TEN
Ohio State,Brandon Noel,7.4,1.0,BIG-TEN
UCLA,Xavier Booker,7.3,0.8,BIG-TEN
Michigan,Roddy Gayle Jr.,7.1,1.4,BIG-TEN
Nebraska,Ugnius Jarusevicius,7.0,0.0,BIG-TEN
Penn State,Eli Rice,7.0,0.3,BIG-TEN
Rutgers,Jamichael Davis,7.0,2.4,BIG-TEN
Southern California,Jordan Marsh,7.0,1.7,BIG-TEN
Illinois,Zvonimir Ivisic,6.9,0.3,BIG-TEN
Iowa,Cam Manyawu,6.9,0.9,BIG-TEN
Iowa,Cooper Koch,6.9,1.1,BIG-TEN
Penn State,Dominick Stewart,6.9,1.5,BIG-TEN
Rutgers,Kaden Powers,6.8,1.6,BIG-TEN
Oregon,Sean Stewart,6.7,1.1,BIG-TEN
Rutgers,Harun Zrno,6.7,0.7,BIG-TEN
Oregon,Wei Lin,6.6,1.6,BIG-TEN
Nebraska,Berke Buyuktuncel,6.5,2.0,BIG-TEN
Northwestern,Angelo Ciaravino,6.5,1.3,BIG-TEN
Purdue,Daniel Jacobsen,6.4,0.4,BIG-TEN
Illinois,Ben Humrichous,6.3,0.8,BIG-TEN
Minnesota,Chansey Willis Jr.,6.3,3.3,BIG-TEN
Washington,Franck Kepnang,6.2,0.2,BIG-TEN
Iowa,Tate Sage,6.0,0.7,BIG-TEN
Michigan State,Jordan Scott,6.0,1.1,BIG-TEN
Wisconsin,Andrew Rohde,6.0,2.9,BIG-TEN
Illinois,Jake Davis,5.8,0.7,BIG-TEN
Purdue,Omer Mayer,5.7,1.3,BIG-TEN
Washington,Bryson Tucker,5.7,0.5,BIG-TEN
Iowa,Kael Combs,5.6,2.3,BIG-TEN
Maryland,Myles Rice,5.6,1.3,BIG-TEN
Iowa,Isaia Howard,5.4,1.2,BIG-TEN
Nebraska,Connor Essegian,5.4,0.9,BIG-TEN
Southern California,Jaden Brownell,5.3,0.4,BIG-TEN
Michigan State,Cameron Ward,5.2,0.3,BIG-TEN
Washington,JJ Mandaquit,5.2,3.2,BIG-TEN
Michigan State,Divine Ugochukwu,5.1,1.5,BIG-TEN
Oregon,Dezdrick Lindsay,5.1,1.5,BIG-TEN
Rutgers,Angelino Mark,5.1,1.0,BIG-TEN
Minnesota,Robert Vaihola,5.0,1.4,BIG-TEN
Purdue,Gicarri Harris,5.0,0.9,BIG-TEN
Purdue,Jack Benter,4.9,0.8,BIG-TEN
Northwestern,Jake West,4.6,2.8,BIG-TEN
Southern California,Amarion Dickerson,4.6,1.1,BIG-TEN
Nebraska,Cale Jacobsen,4.5,1.4,BIG-TEN
Indiana,Conor Enright,4.4,4.7,BIG-TEN
Ohio State,Taison Chatman,4.4,0.8,BIG-TEN
Southern California,Jerry Easter II,4.4,1.1,BIG-TEN
Indiana,Trent Sisley,4.3,0.4,BIG-TEN
Northwestern,Max Green,4.3,1.0,BIG-TEN
Rutgers,Emmanuel Ogbole,4.3,0.4,BIG-TEN
UCLA,Jamar Brown,4.3,0.6,BIG-TEN
Wisconsin,Aleksas Bieliauskas,4.3,0.7,BIG-TEN
Iowa,Brendan Hausen,4.2,0.4,BIG-TEN
Michigan,Will Tschetter,4.2,0.6,BIG-TEN
Washington,Lathan Sommerville,4.2,0.2,BIG-TEN
Maryland,Isaiah Watts,4.1,0.7,BIG-TEN
Minnesota,Grayson Grove,3.9,1.4,BIG-TEN
Iowa,Trevin Jirak,3.7,1.1,BIG-TEN
Michigan State,Trey Fort,3.7,0.6,BIG-TEN
Penn State,Tibor Mirtic,3.7,0.7,BIG-TEN
Northwestern,K.J. Windham,3.5,1.1,BIG-TEN
Northwestern,Jordan Clayton,3.4,1.1,BIG-TEN
Northwestern,Justin Mullins,3.3,0.8,BIG-TEN
Rutgers,Denis Badalau,3.2,0.9,BIG-TEN
Southern California,Gabe Dynes,3.1,0.4,BIG-TEN
Washington,Jacob Ognacevic,3.1,0.3,BIG-TEN
Nebraska,Jared Garcia,3.0,0.3,BIG-TEN
Ohio State,Ivan Njegovan,3.0,0.7,BIG-TEN
Washington,Jasir Rencher,3.0,0.1,BIG-TEN
Michigan,Winters Grady,2.9,0.2,BIG-TEN
Northwestern,Tyler Kropp,2.9,0.2,BIG-TEN
Oregon,Devon Pryor,2.9,1.2,BIG-TEN
Oregon,Jamari Phillips,2.8,0.5,BIG-TEN
Washington,Nikola Dzepina,2.8,0.6,BIG-TEN
Oregon,Oleksandr Kobzystyi,2.7,0.3,BIG-TEN
Penn State,Mason Blackwood,2.7,0.3,BIG-TEN
Ohio State,Puff Johnson,2.6,0.1,BIG-TEN
Michigan State,Jesse McCulloch,2.5,0.2,BIG-TEN
Oregon,Drew Carter,2.4,0.8,BIG-TEN
UCLA,Brandon Williams,2.4,0.4,BIG-TEN
Purdue,Liam Murphy,2.3,0.3,BIG-TEN
Southern California,Terrance Williams II,2.3,0.5,BIG-TEN
Washington,Courtland Muldrew,2.3,1.0,BIG-TEN
Oregon,Ege Demir,2.2,0.3,BIG-TEN
Penn State,SaÅ¡a Ciani,2.2,0.2,BIG-TEN
Rutgers,Bryce Dortch,2.2,0.1,BIG-TEN
Southern California,Ryan Cornish,2.2,0.7,BIG-TEN
Wisconsin,Jack Janicki,2.2,1.1,BIG-TEN
Northwestern,Gus Hurlburt,2.0,0.0,BIG-TEN
Rutgers,Christopher Nwuli,2.0,0.4,BIG-TEN
Illinois,Mihailo Petrovic,1.9,1.3,BIG-TEN
UCLA,Steven Jamerson II,1.9,0.6,BIG-TEN
Minnesota,Kai Shinholster,1.8,1.1,BIG-TEN
Illinois,Brandon Lee,1.7,0.2,BIG-TEN
Maryland,Guillermo Del Pino Luque,1.7,0.5,BIG-TEN
Nebraska,Leo Curtis,1.7,0.3,BIG-TEN
Wisconsin,Hayden Jones,1.7,0.4,BIG-TEN
Indiana,Jasai Miles,1.6,0.5,BIG-TEN
UCLA,Eric Freeny,1.6,0.3,BIG-TEN
Iowa,Joey Matteoni,1.5,0.3,BIG-TEN
Ohio State,Gabe Cupps,1.5,1.2,BIG-TEN
Penn State,Justin Houser,1.5,0.2,BIG-TEN
Illinois,AJ Redd,1.4,0.0,BIG-TEN
Maryland,Aleks Alston,1.4,0.3,BIG-TEN
Michigan,Malick Kordel,1.4,0.2,BIG-TEN
Michigan,Oscar Goodman,1.4,0.5,BIG-TEN
Wisconsin,Zach Kinziger,1.4,0.6,BIG-TEN
Illinois,Jason Jakstys,1.3,0.2,BIG-TEN
Maryland,George Turkson Jr.,1.3,0.2,BIG-TEN
Maryland,Collin Metcalf,1.2,0.3,BIG-TEN
Oregon,Efe Vatan,1.2,0.0,BIG-TEN
Purdue,Aaron Fine,1.2,0.3,BIG-TEN
Oregon,Luke Johnson,1.1,0.1,BIG-TEN
Michigan,Charlie May,1.0,0.3,BIG-TEN
Ohio State,Mathieu Grujicic,1.0,0.3,BIG-TEN
Southern California,Brit Burden,1.0,0.0,BIG-TEN
Washington,Brandon Roy Jr.,1.0,0.0,BIG-TEN
Wisconsin,Jack Robison,1.0,0.1,BIG-TEN
Wisconsin,Will Garlock,1.0,0.8,BIG-TEN
Ohio State,Colin White,0.9,0.4,BIG-TEN
Southern California,EJ Neal,0.9,0.0,BIG-TEN
Nebraska,Kendall Blue,0.8,0.2,BIG-TEN
Wisconsin,Isaac Gard,0.8,0.1,BIG-TEN
Minnesota,Nehemiah Turner,0.7,0.3,BIG-TEN
Michigan,Howard Eisley Jr.,0.6,0.0,BIG-TEN
Rutgers,Baye Fall,0.6,0.1,BIG-TEN
Indiana,Aleksa Ristic,0.5,0.0,BIG-TEN
Michigan State,Brennan Walton,0.5,0.0,BIG-TEN
Michigan State,Nick Sanders,0.5,0.1,BIG-TEN
Northwestern,Phoenix Gill,0.5,0.3,BIG-TEN
Indiana,Drew Snively,0.4,0.0,BIG-TEN
Indiana,Ian Stephens,0.4,0.0,BIG-TEN
Iowa,Jacob Koch,0.4,0.2,BIG-TEN
Michigan State,Denham Wojcik,0.4,1.3,BIG-TEN
UCLA,Anthony Peoples Jr.,0.4,0.0,BIG-TEN
UCLA,Jack Seidler,0.4,0.0,BIG-TEN
Michigan State,Colin Walton,0.3,0.0,BIG-TEN
Rutgers,Gevonte Ware,0.3,0.0,BIG-TEN
Illinois,Blake Fagbemi,0.2,0.4,BIG-TEN
Nebraska,Justin Bolis,0.2,0.1,BIG-TEN
Indiana,Tryce Grensing,0.0,0.0,BIG-TEN
Minnesota,Maximus Gizzi,0.0,0.0,BIG-TEN
Minnesota,RJ Spencer,0.0,0.0,BIG-TEN
Ohio State,Braylen Nash,0.0,0.2,BIG-TEN
Oregon,Miles Stewart,0.0,0.0,BIG-TEN
Penn State,Chris Lotito,0.0,0.0,BIG-TEN
Purdue,Jace Rayl,0.0,0.0,BIG-TEN
Purdue,Jack Lusk,0.0,0.0,BIG-TEN
Southern California,Jonah Goorin,0.0,0.0,BIG-TEN
Southern California,Patrick O'Brien,0.0,0.0,BIG-TEN
UCLA,Christian Horry,0.0,0.3,BIG-TEN
Wisconsin,Riccardo Greppi,0.0,0.1,BIG-TEN
Providence,Jaylin Sellers,18.0,1.5,BIG-EAST
Xavier,Tre Carroll,18.0,2.6,BIG-EAST
Butler,Finley Bizjack,17.0,2.5,BIG-EAST
Providence,Jason Edwards,17.0,3.1,BIG-EAST
Butler,Michael Ajayi,16.4,3.1,BIG-EAST
Marquette,Nigel James Jr.,16.3,4.8,BIG-EAST
St. John's (NY),Zuby Ejiofor,15.8,3.6,BIG-EAST
Providence,Stefan Vaaks,15.3,3.2,BIG-EAST
Georgetown,KJ Lewis,14.9,2.5,BIG-EAST
Marquette,Chase Ross,14.2,3.4,BIG-EAST
Connecticut,Solomon Ball,14.1,1.6,BIG-EAST
Georgetown,Malik Mack,13.8,4.2,BIG-EAST
Connecticut,Tarris Reed Jr.,13.7,2.2,BIG-EAST
DePaul,CJ Gunn,13.5,1.9,BIG-EAST
Villanova,Tyler Perkins,13.5,1.6,BIG-EAST
St. John's (NY),Bryce Hopkins,13.4,2.0,BIG-EAST
Connecticut,Alex Karaban,13.3,2.2,BIG-EAST
Creighton,Josh Dix,12.7,2.4,BIG-EAST
Villanova,Acaden Lewis,12.5,5.1,BIG-EAST
Seton Hall,Adam Clark,12.3,4.8,BIG-EAST
Villanova,Bryce Lindsay,12.3,2.1,BIG-EAST
Connecticut,Braylon Mullins,12.1,1.3,BIG-EAST
Marquette,Royce Parham,12.1,1.0,BIG-EAST
Seton Hall,A.J. Staton-McCray,12.1,1.4,BIG-EAST
Villanova,Duke Brennan,12.0,2.0,BIG-EAST
Xavier,Jovan Milicevic,12.0,1.3,BIG-EAST
Providence,Jamier Jones,11.9,1.4,BIG-EAST
DePaul,N.J. Benson,11.3,1.3,BIG-EAST
Georgetown,Vincent Iwuchukwu,11.3,0.6,BIG-EAST
DePaul,Layden Blocker,11.0,3.4,BIG-EAST
Connecticut,Silas Demary Jr.,10.9,6.5,BIG-EAST
Creighton,Austin Swartz,10.9,1.4,BIG-EAST
Xavier,Roddie Anderson III,10.9,2.2,BIG-EAST
DePaul,Brandon Maclin,10.8,2.7,BIG-EAST
Xavier,Malik Moore,10.8,3.9,BIG-EAST
St. John's (NY),Oziyah Sellers,10.7,1.9,BIG-EAST
Creighton,Jasen Green,10.4,2.5,BIG-EAST
Creighton,Nik Graves,10.4,4.3,BIG-EAST
Xavier,Filip Borovicanin,10.4,4.3,BIG-EAST
Seton Hall,TJ Simpkins,10.3,1.3,BIG-EAST
St. John's (NY),Ian Jackson,10.2,1.3,BIG-EAST
Villanova,Devin Askew,9.9,1.9,BIG-EAST
Butler,Jalen Jackson,9.5,3.8,BIG-EAST
Butler,Jamie Kaiser,9.5,1.0,BIG-EAST
Georgetown,Julius Halaifonua,9.2,1.3,BIG-EAST
Villanova,Matthew Hodge,9.2,0.7,BIG-EAST
Georgetown,Caleb Williams,9.0,1.6,BIG-EAST
Providence,Ryan Mela,9.0,1.9,BIG-EAST
St. John's (NY),Joson Sanon,8.4,0.7,BIG-EAST
Butler,Yohan Traore,8.2,0.7,BIG-EAST
Marquette,Ben Gold,8.2,0.9,BIG-EAST
Providence,Corey Floyd Jr.,8.2,2.6,BIG-EAST
St. John's (NY),Dillon Mitchell,8.2,3.0,BIG-EAST
Marquette,Zaide Lowery,8.1,1.7,BIG-EAST
Creighton,Blake Harper,8.0,1.2,BIG-EAST
Marquette,Adrien Stevens,7.9,1.5,BIG-EAST
Xavier,All Wright,7.7,2.0,BIG-EAST
Butler,Evan Haywood,7.4,1.3,BIG-EAST
Providence,Oswin Erhunmwunse,7.3,0.7,BIG-EAST
St. John's (NY),Dylan Darling,7.2,2.3,BIG-EAST
Seton Hall,Mike Williams III,7.1,1.6,BIG-EAST
Connecticut,Eric Reibe,6.8,0.5,BIG-EAST
Creighton,Jackson McAndrew,6.8,0.5,BIG-EAST
DePaul,RJ Smith,6.8,2.5,BIG-EAST
Creighton,Isaac Traudt,6.7,0.5,BIG-EAST
Seton Hall,Elijah Fisher,6.7,0.8,BIG-EAST
Butler,Drayton Jones,6.3,1.3,BIG-EAST
Marquette,Sean Jones,6.3,3.9,BIG-EAST
Seton Hall,Najai Hines,6.3,0.6,BIG-EAST
