Team,Player,PPG,APG,Conf
Arizona,Ivan Kharchenkov,10.2,2.2,BIG-12
Baylor,Isaac Williams,10.2,3.0,BIG-12
Baylor,Daniel Skillings Jr.,9.9,2.3,BIG-12
West Virginia,Chance Moore,9.8,0.6,BIG-12
West Virginia,Treysen Eaglestaff,9.8,1.5,BIG-12
Arizona,Tobe Awaka,9.6,0.9,BIG-12
Houston,Chris Cenac Jr.,9.6,0.9,BIG-12
Oklahoma State,Jaylen Curry,9.6,3.9,BIG-12
Oklahoma State,Christian Coleman,9.4,1.0,BIG-12
Utah,Seydou Traore,9.3,2.0,BIG-12
Kansas State,Khamari McGriff,9.2,1.2,BIG-12
Iowa State,Killyan Toure,9.1,2.4,BIG-12
Oklahoma State,Kanye Clary,9.1,4.9,BIG-12
Arizona,Anthony Dell'Orso,9.0,2.2,BIG-12
Texas Tech,Jaylen Petty,9.0,2.2,BIG-12
Kansas,Bryson Tiller,8.9,1.2,BIG-12
Iowa State,Blake Buchanan,8.3,1.5,BIG-12
TCU,Brock Harding,8.3,5.7,BIG-12
Cincinnati,Shon Abaev,8.0,1.2,BIG-12
Arizona State,Santiago Trouet,7.9,1.0,BIG-12
Baylor,Michael Rataj,7.9,2.0,BIG-12
Brigham Young,Kennard Davis,7.8,1.3,BIG-12
TCU,Liutauras Lelevicius,7.8,0.7,BIG-12
Colorado,Alon Michaeli,7.6,1.0,BIG-12
Houston,Joseph Tugler,7.6,1.2,BIG-12
TCU,Tanner Toolson,7.6,0.9,BIG-12
Brigham Young,Dawson Baker,7.5,0.5,BIG-12
Cincinnati,Jalen Celestine,7.4,1.2,BIG-12
Arizona State,Bryce Ford,7.2,0.8,BIG-12
Utah,Jacob Patrick,7.2,0.5,BIG-12
Arizona State,Andrija Grbovic,7.1,0.4,BIG-12
West Virginia,Jasper Floyd,7.0,3.0,BIG-12
Baylor,Caden Powell,6.7,1.3,BIG-12
Cincinnati,Sencire Harris,6.6,1.5,BIG-12
Oklahoma State,Isaiah Coleman,6.5,0.8,BIG-12
Brigham Young,Keba Keita,6.4,0.3,BIG-12
UCF,Chris Johnson,6.4,1.9,BIG-12
Iowa State,Jamarion Batemon,6.4,0.4,BIG-12
Arizona State,Noah Meeusen,6.2,2.6,BIG-12
West Virginia,DJ Thomas,6.1,0.6,BIG-12
Arizona State,Allen David Mukeba,5.9,0.8,BIG-12
UCF,Devan Cambridge,5.8,1.0,BIG-12
Cincinnati,Kerr Kriisa,5.8,3.0,BIG-12
UCF,John Bol,5.5,0.4,BIG-12
Iowa State,Nate Heise,5.4,1.6,BIG-12
West Virginia,Harlan Obioha,5.4,0.8,BIG-12
Utah,Kendyl Sanders,5.1,0.6,BIG-12
Baylor,James Goodis,5.0,0.0,BIG-12
UCF,Carmelo Pacheco,5.0,0.4,BIG-12
Kansas,Elmarko Jackson,5.0,1.7,BIG-12
TCU,Jace Posey,4.9,0.3,BIG-12
Arizona,Dwayne Aristode,4.7,0.8,BIG-12
Colorado,Felix Kossaras,4.7,0.5,BIG-12
Oklahoma State,Andrija Vukovic,4.7,0.6,BIG-12
Houston,Isiah Harwell,4.6,0.7,BIG-12
Kansas State,Andrej Kostic,4.6,1.2,BIG-12
Colorado,Jalin Holland,4.5,0.9,BIG-12
Texas Tech,Luke Bamgboye,4.5,0.6,BIG-12
Iowa State,Dominykas Pleta,4.4,0.4,BIG-12
Oklahoma State,Lefteris Mantzoukas,4.4,0.5,BIG-12
Colorado,Josiah Sanders,4.3,1.6,BIG-12
Iowa State,Dominick Nelson,4.3,0.4,BIG-12
West Virginia,Jackson Fields,4.3,1.1,BIG-12
Colorado,Elijah Malone,4.2,0.8,BIG-12
Houston,Mercy Miller,4.2,0.5,BIG-12
UCF,Jeremy Foumena,4.1,0.2,BIG-12
Kansas State,Elias Rapieque,4.1,1.6,BIG-12
West Virginia,Amir Jenkins,4.0,2.2,BIG-12
Texas Tech,Tyeree Bryan,3.9,0.5,BIG-12
Kansas,Jamari McDowell,3.8,1.3,BIG-12
Kansas State,Taj Manning,3.8,1.0,BIG-12
UCF,George Beale,3.7,0.3,BIG-12
Oklahoma State,Robert Jennings,3.7,0.0,BIG-12
Arizona State,Marcus Adams Jr.,3.6,0.2,BIG-12
Brigham Young,Mihailo Boskovic,3.5,0.8,BIG-12
TCU,Kayden Edwards,3.5,0.6,BIG-12
Cincinnati,Keyshuan Tillery,3.4,1.4,BIG-12
Kansas,Kohl Rosario,3.4,0.5,BIG-12
Kansas State,Christian Jones,3.3,1.3,BIG-12
Kansas State,Dorin Buca,3.3,0.5,BIG-12
Oklahoma State,Ryan Crotty,3.2,0.4,BIG-12
Colorado,Ian Inman,3.1,0.4,BIG-12
Utah,Josh Hayes,3.1,0.2,BIG-12
Houston,Chase McCarty,3.0,0.2,BIG-12
Utah,Lucas Langarita,3.0,0.0,BIG-12
TCU,RJ Jones,2.9,0.9,BIG-12
Texas Tech,Josiah Moseley,2.9,0.6,BIG-12
Oklahoma State,Benjamin Ahmed,2.8,0.2,BIG-12
Texas Tech,Leon Horner,2.7,0.2,BIG-12
Houston,Ramon Walker Jr.,2.6,0.5,BIG-12
Utah,James Okonkwo,2.6,0.8,BIG-12
Brigham Young,Khadim Mboup,2.5,0.5,BIG-12
Utah,Obomate Abbey,2.5,2.5,BIG-12
Brigham Young,Aleksej KostiÄ,2.4,0.3,BIG-12
Baylor,Will Kuykendall,2.3,0.1,BIG-12
Cincinnati,Halvine Dzellat,2.3,0.1,BIG-12
Cincinnati,Jordi Rodriguez,2.3,0.5,BIG-12
Houston,Kalifa Sakho,2.3,0.1,BIG-12
Kansas State,Marcus Johnson,2.2,0.5,BIG-12
Brigham Young,Tyler Mrus,2.1,0.3,BIG-12
Kansas,Jayden Dawson,2.1,0.6,BIG-12
Colorado,Andrew Crawford,2.0,0.0,BIG-12
UCF,Kris Parker,1.9,0.2,BIG-12
Cincinnati,Tyler McKinley,1.9,0.7,BIG-12
Kansas State,Mobi Ikegwuruka,1.9,0.4,BIG-12
Brigham Young,Dominique Diomande,1.8,0.2,BIG-12
Kansas,Nginyu Ngala,1.8,0.3,BIG-12
Baylor,James Nnaji,1.6,0.1,BIG-12
Brigham Young,Abdullah Ahmed,1.6,0.5,BIG-12
West Virginia,Morris Ugusuk,1.6,0.2,BIG-12
Arizona,Sidi Gueye,1.5,0.2,BIG-12
Baylor,JJ White,1.5,0.0,BIG-12
Texas Tech,Marial Akuentok,1.5,0.1,BIG-12
Utah,Ibi Traore,1.5,0.0,BIG-12
Baylor,Drew Perry,1.4,0.0,BIG-12
Houston,Kordelius Jefferson,1.3,0.3,BIG-12
TCU,Ashton Simmons,1.3,0.3,BIG-12
Utah,Jahki Howard,1.3,0.2,BIG-12
Iowa State,Cade Kelderman,1.2,0.9,BIG-12
West Virginia,Jayden Forsythe,1.2,0.0,BIG-12
Arizona State,Trevor Best,1.1,0.1,BIG-12
Oklahoma State,Daniel Guetta,1.1,0.5,BIG-12
TCU,Vianney Salatchoum,1.1,0.1,BIG-12
Colorado,Nick Randall,1.0,0.0,BIG-12
Iowa State,Eric Mulder,1.0,0.2,BIG-12
Iowa State,Xzavion Mitchell,1.0,0.0,BIG-12
Oklahoma State,Mekhi Ragland,1.0,0.1,BIG-12
Texas Tech,Nolan Groves,1.0,0.3,BIG-12
Colorado,Fawaz Ifaola,0.9,0.3,BIG-12
Kansas,Paul Mbiya,0.7,0.0,BIG-12
Kansas State,Stephen Osei,0.7,0.0,BIG-12
Texas Tech,Jazz Henderson,0.7,0.3,BIG-12
Arizona,Evan Nelson,0.6,0.4,BIG-12
Arizona,Jackson Francois,0.6,0.0,BIG-12
Arizona,Sven Djopmo,0.6,0.3,BIG-12
Brigham Young,Xavion Staton,0.6,0.3,BIG-12
Houston,Cedric Lath,0.6,0.1,BIG-12
Kansas,Wilder Evers,0.6,0.0,BIG-12
UCF,Poohpha Warakulnukroh,0.5,0.0,BIG-12
Oklahoma State,Kirk Cole,0.5,0.3,BIG-12
TCU,Adam Stewart,0.5,0.0,BIG-12
UCF,Elijah Hulsewe,0.4,0.1,BIG-12
Kansas,Samis Calderon,0.4,0.3,BIG-12
Arizona,Addison Arnold,0.3,0.2,BIG-12
Iowa State,Anthony Rise,0.3,0.0,BIG-12
Arizona,Jackson Cook,0.0,0.0,BIG-12
Arizona State,Kash Polk,0.0,0.0,BIG-12
Arizona State,Quentin McCoy,0.0,0.0,BIG-12
Brigham Young,Jared McGregor,0.0,0.3,BIG-12
UCF,Zachary Johnson,0.0,0.0,BIG-12
Cincinnati,Grant Darbyshire,0.0,0.0,BIG-12
Houston,Jacob McFarland,0.0,0.0,BIG-12
Kansas,Justin Cross,0.0,0.2,BIG-12
Kansas,Will Thengvall,0.0,0.0,BIG-12
TCU,Drew McElroy,0.0,0.0,BIG-12
TCU,Malick Diallo,0.0,0.0,BIG-12
TCU,Trey Stuart,0.0,0.0,BIG-12
Texas Tech,Jack Francis,0.0,0.0,BIG-12
Utah,Elijah Moore,0.0,0.0,BIG-12
Utah,Jerry Huang,0.0,0.0,BIG-12
West Virginia,Abraham Oyeadier,0.0,0.0,BIG-12
West Virginia,Niyol Hauet,0.0,0.0,BIG-12
Northwestern,Nick Martinelli,22.3,1.7,BIG-TEN
Indiana,Lamar Wilkerson,21.1,2.4,BIG-TEN
Iowa,Bennett Stirtz,20.6,4.5,BIG-TEN
Wisconsin,Nick Boyd,20.6,3.8,BIG-TEN
Ohio State,Bruce Thornton,20.4,3.9,BIG-TEN
Southern California,Rodney Rice,20.3,6.0,BIG-TEN
Minnesota,Cade Tyson,19.5,2.4,BIG-TEN
Wisconsin,John Blackwell,18.5,2.4,BIG-TEN
Southern California,Chad Baker-Mazara,18.4,2.9,BIG-TEN
Illinois,Keaton Wagler,18.2,4.3,BIG-TEN
UCLA,Tyler Bilodeau,18.1,1.0,BIG-TEN
Nebraska,Pryce Sandfort,17.9,1.8,BIG-TEN
Washington,Hannes Steinbach,17.8,1.6,BIG-TEN
Maryland,Pharrel Payne,17.5,1.4,BIG-TEN
Oregon,Nathan Bittle,16.7,2.5,BIG-TEN
Rutgers,Tariq Francis,16.6,2.7,BIG-TEN
Southern California,Ezra Ausar,15.7,1.8,BIG-TEN
Oregon,Jackson Shelstad,15.6,4.9,BIG-TEN
Ohio State,John Mobley Jr.,15.1,2.8,BIG-TEN
Michigan State,Jeremy Fears Jr.,15.0,9.2,BIG-TEN
Purdue,Braden Smith,14.9,8.7,BIG-TEN
Washington,Zoom Diallo,14.9,4.4,BIG-TEN
Michigan,Yaxel Lendeborg,14.6,3.2,BIG-TEN
Maryland,David Coit,14.4,2.8,BIG-TEN
Southern California,Alijah Arenas,14.3,1.9,BIG-TEN
Ohio State,Devin Royal,14.0,1.7,BIG-TEN
Illinois,Kylan Boswell,13.9,3.6,BIG-TEN
Penn State,Freddie Dilione V,13.9,2.3,BIG-TEN
Penn State,Kayden Mingo,13.9,4.4,BIG-TEN
Illinois,Andrej Stojakovic,13.8,1.1,BIG-TEN
Nebraska,Rienk Mast,13.8,3.1,BIG-TEN
Indiana,Tucker DeVries,13.7,3.2,BIG-TEN
Wisconsin,Nolan Winter,13.7,1.6,BIG-TEN
Purdue,Fletcher Loyer,13.6,1.8,BIG-TEN
Michigan,Morez Johnson Jr.,13.5,1.2,BIG-TEN
Minnesota,Jaylen Crocker-Johnson,13.4,1.8,BIG-TEN
Purdue,Trey Kaufman-Renn,13.3,2.7,BIG-TEN
UCLA,Donovan Dent,13.3,7.2,BIG-TEN
Washington,Desmond Claude,13.3,1.9,BIG-TEN
Washington,Wesley Yates III,13.1,1.1,BIG-TEN
Oregon,Kwame Evans Jr.,12.9,2.2,BIG-TEN
UCLA,Skyy Clark,12.9,1.9,BIG-TEN
Illinois,David Mirkovic,12.7,2.6,BIG-TEN
UCLA,Trent Perry,12.7,2.6,BIG-TEN
Oregon,TK Simpkins,12.4,2.1,BIG-TEN
Michigan State,Jaxon Kohler,12.3,1.1,BIG-TEN
Nebraska,Braden Frager,11.7,0.9,BIG-TEN
Michigan State,Coen Carr,11.6,1.3,BIG-TEN
Maryland,Andre Mills,11.3,1.6,BIG-TEN
Maryland,Darius Adams,11.3,1.5,BIG-TEN
Ohio State,Christoph Tilly,11.3,2.3,BIG-TEN
Michigan,Aday Mara,11.2,2.4,BIG-TEN
Penn State,Josh Reed,11.2,1.0,BIG-TEN
Minnesota,Langston Reynolds,11.1,4.5,BIG-TEN
UCLA,Eric Dailey Jr.,11.0,1.3,BIG-TEN
Minnesota,Isaac Asuma,10.9,4.0,BIG-TEN
Rutgers,Dylan Grant,10.9,0.5,BIG-TEN
Illinois,Tomislav Ivisic,10.7,1.6,BIG-TEN
Iowa,Tavion Banks,10.7,1.1,BIG-TEN
Nebraska,Jamarques Lawrence,10.6,3.8,BIG-TEN
Northwestern,Arrinten Page,10.4,1.8,BIG-TEN
Maryland,Solomon Washington,10.3,0.8,BIG-TEN
Michigan State,Carson Cooper,10.3,1.4,BIG-TEN
Indiana,Tayton Conerway,10.2,3.8,BIG-TEN
Northwestern,Jayden Reid,10.1,4.9,BIG-TEN
Purdue,Oscar Cluff,10.1,1.7,BIG-TEN
Michigan,Elliot Cadeau,10.0,5.6,BIG-TEN
Southern California,Jacob Cofie,10.0,2.0,BIG-TEN
Michigan,Trey McKenney,9.7,0.9,BIG-TEN
Minnesota,Bobby Durkin,9.7,1.8,BIG-TEN
Nebraska,Sam Hoiberg,9.5,4.6,BIG-TEN
Wisconsin,Austin Rapp,9.5,1.6,BIG-TEN
Penn State,Ivan Juric,9.3,0.7,BIG-TEN
Ohio State,Amare Bynum,9.2,1.0,BIG-TEN
Indiana,Reed Bailey,9.0,1.2,BIG-TEN
Maryland,Elijah Saunders,8.7,0.9,BIG-TEN
Michigan,Nimari Burnett,8.7,1.3,BIG-TEN
Washington,Quimari Peterson,8.7,2.1,BIG-TEN
Indiana,Nick Dorn,8.5,0.3,BIG-TEN
Iowa,Alvaro Folgueiras,8.3,2.1,BIG-TEN
Penn State,Melih Tunca,8.2,2.4,BIG-TEN
Michigan,L.J. Cason,8.1,2.4,BIG-TEN
Southern California,Kam Woods,8.1,3.6,BIG-TEN
Indiana,Sam Alexis,8.0,1.2,BIG-TEN
Northwestern,Tre Singleton,7.9,1.4,BIG-TEN
Purdue,C.J. Cox,7.9,1.3,BIG-TEN
Rutgers,Darren Buchanan Jr.,7.9,1.5,BIG-TEN
Penn State,Eli Rice,7.5,0.2,BIG-TEN
Ohio State,Brandon Noel,7.4,1.0,BIG-TEN
UCLA,Xavier Booker,7.4,0.9,BIG-TEN
Michigan,Roddy Gayle Jr.,7.3,1.5,BIG-TEN
Wisconsin,Braeden Carrington,7.3,1.0,BIG-TEN
Rutgers,Harun Zrno,7.2,0.7,BIG-TEN
Illinois,Zvonimir Ivisic,7.0,0.3,BIG-TEN
Michigan State,Kur Teng,7.0,1.0,BIG-TEN
Nebraska,Ugnius Jarusevicius,7.0,0.0,BIG-TEN
Southern California,Jordan Marsh,7.0,1.9,BIG-TEN
Oregon,Sean Stewart,6.9,1.0,BIG-TEN
Purdue,Daniel Jacobsen,6.9,0.4,BIG-TEN
Rutgers,Jamichael Davis,6.9,2.5,BIG-TEN
Iowa,Cooper Koch,6.8,1.1,BIG-TEN
Rutgers,Kaden Powers,6.8,1.5,BIG-TEN
Northwestern,Angelo Ciaravino,6.7,1.3,BIG-TEN
Penn State,Dominick Stewart,6.7,1.4,BIG-TEN
Nebraska,Berke Buyuktuncel,6.6,2.0,BIG-TEN
Illinois,Ben Humrichous,6.4,0.8,BIG-TEN
Iowa,Cam Manyawu,6.4,0.9,BIG-TEN
Oregon,Wei Lin,6.4,1.6,BIG-TEN
Minnesota,Chansey Willis Jr.,6.3,3.3,BIG-TEN
Iowa,Tate Sage,6.2,0.8,BIG-TEN
Washington,Franck Kepnang,6.2,0.2,BIG-TEN
Wisconsin,Andrew Rohde,6.2,2.9,BIG-TEN
Purdue,Omer Mayer,6.1,1.4,BIG-TEN
Michigan State,Jordan Scott,6.0,1.0,BIG-TEN
Washington,Bryson Tucker,5.9,0.5,BIG-TEN
Illinois,Jake Davis,5.8,0.8,BIG-TEN
Iowa,Isaia Howard,5.7,1.2,BIG-TEN
Iowa,Kael Combs,5.6,2.3,BIG-TEN
Maryland,Myles Rice,5.6,1.3,BIG-TEN
Southern California,Jaden Brownell,5.5,0.4,BIG-TEN
Nebraska,Connor Essegian,5.4,0.9,BIG-TEN
Oregon,Dezdrick Lindsay,5.4,1.5,BIG-TEN
Purdue,Gicarri Harris,5.2,0.9,BIG-TEN
Washington,JJ Mandaquit,5.2,3.2,BIG-TEN
Michigan State,Divine Ugochukwu,5.1,1.5,BIG-TEN
Michigan State,Cameron Ward,5.0,0.3,BIG-TEN
Minnesota,Robert Vaihola,5.0,1.4,BIG-TEN
Purdue,Jack Benter,4.8,0.8,BIG-TEN
UCLA,Jamar Brown,4.7,0.6,BIG-TEN
Indiana,Conor Enright,4.6,4.7,BIG-TEN
Indiana,Trent Sisley,4.6,0.4,BIG-TEN
Michigan,Will Tschetter,4.6,0.6,BIG-TEN
Nebraska,Cale Jacobsen,4.6,1.5,BIG-TEN
Southern California,Amarion Dickerson,4.6,1.1,BIG-TEN
Southern California,Jerry Easter II,4.6,1.2,BIG-TEN
Iowa,Brendan Hausen,4.4,0.4,BIG-TEN
Maryland,Isaiah Watts,4.4,0.8,BIG-TEN
Northwestern,Max Green,4.3,1.0,BIG-TEN
Ohio State,Taison Chatman,4.3,0.8,BIG-TEN
Wisconsin,Aleksas Bieliauskas,4.3,0.6,BIG-TEN
Northwestern,Jake West,4.2,2.9,BIG-TEN
Rutgers,Angelino Mark,4.2,0.9,BIG-TEN
Rutgers,Emmanuel Ogbole,4.1,0.4,BIG-TEN
Minnesota,Grayson Grove,4.0,1.1,BIG-TEN
Iowa,Trevin Jirak,3.9,1.1,BIG-TEN
Michigan State,Trey Fort,3.9,0.6,BIG-TEN
Washington,Lathan Sommerville,3.9,0.2,BIG-TEN
Northwestern,K.J. Windham,3.8,1.2,BIG-TEN
Penn State,Tibor Mirtic,3.7,0.7,BIG-TEN
Northwestern,Justin Mullins,3.5,0.8,BIG-TEN
Northwestern,Jordan Clayton,3.4,1.2,BIG-TEN
Washington,Jacob Ognacevic,3.4,0.3,BIG-TEN
Rutgers,Denis Badalau,3.3,0.9,BIG-TEN
Southern California,Gabe Dynes,3.2,0.5,BIG-TEN
Nebraska,Jared Garcia,3.1,0.4,BIG-TEN
Northwestern,Tyler Kropp,3.1,0.2,BIG-TEN
Ohio State,Ivan Njegovan,3.1,0.7,BIG-TEN
Ohio State,Puff Johnson,3.0,0.1,BIG-TEN
Oregon,Jamari Phillips,3.0,0.6,BIG-TEN
Washington,Jasir Rencher,3.0,0.1,BIG-TEN
Michigan,Winters Grady,2.9,0.2,BIG-TEN
Oregon,Devon Pryor,2.9,1.2,BIG-TEN
Penn State,Mason Blackwood,2.7,0.3,BIG-TEN
Michigan State,Jesse McCulloch,2.5,0.2,BIG-TEN
Oregon,Oleksandr Kobzystyi,2.5,0.4,BIG-TEN
Purdue,Liam Murphy,2.5,0.2,BIG-TEN
Southern California,Terrance Williams II,2.5,0.5,BIG-TEN
Oregon,Drew Carter,2.4,0.4,BIG-TEN
Penn State,SaÅ¡a Ciani,2.3,0.3,BIG-TEN
Southern California,Ryan Cornish,2.3,0.7,BIG-TEN
UCLA,Brandon Williams,2.3,0.4,BIG-TEN
Oregon,Ege Demir,2.2,0.3,BIG-TEN
Rutgers,Bryce Dortch,2.2,0.1,BIG-TEN
Wisconsin,Jack Janicki,2.2,1.1,BIG-TEN
Illinois,Mihailo Petrovic,2.1,1.3,BIG-TEN
UCLA,Steven Jamerson II,2.1,0.6,BIG-TEN
Washington,Nikola Dzepina,2.1,0.5,BIG-TEN
Minnesota,Kai Shinholster,2.0,1.1,BIG-TEN
Northwestern,Gus Hurlburt,2.0,0.0,BIG-TEN
Rutgers,Christopher Nwuli,2.0,0.4,BIG-TEN
Illinois,Brandon Lee,1.9,0.2,BIG-TEN
Nebraska,Leo Curtis,1.9,0.3,BIG-TEN
Wisconsin,Hayden Jones,1.9,0.4,BIG-TEN
Ohio State,Gabe Cupps,1.7,1.2,BIG-TEN
Indiana,Jasai Miles,1.6,0.5,BIG-TEN
Wisconsin,Zach Kinziger,1.6,0.3,BIG-TEN
Iowa,Joey Matteoni,1.5,0.3,BIG-TEN
Maryland,Aleks Alston,1.5,0.4,BIG-TEN
Maryland,George Turkson Jr.,1.4,0.2,BIG-TEN
Maryland,Guillermo Del Pino Luque,1.4,0.6,BIG-TEN
Michigan,Malick Kordel,1.4,0.2,BIG-TEN
Michigan,Oscar Goodman,1.4,0.5,BIG-TEN
Penn State,Justin Houser,1.4,0.1,BIG-TEN
Washington,Courtland Muldrew,1.4,0.5,BIG-TEN
Illinois,Jason Jakstys,1.3,0.2,BIG-TEN
UCLA,Eric Freeny,1.3,0.3,BIG-TEN
Purdue,Aaron Fine,1.2,0.3,BIG-TEN
Southern California,EJ Neal,1.2,0.0,BIG-TEN
Illinois,AJ Redd,1.0,0.0,BIG-TEN
Maryland,Collin Metcalf,1.0,0.2,BIG-TEN
Michigan,Charlie May,1.0,0.3,BIG-TEN
Ohio State,Mathieu Grujicic,1.0,0.3,BIG-TEN
Oregon,Efe Vatan,1.0,0.0,BIG-TEN
Southern California,Brit Burden,1.0,0.0,BIG-TEN
Wisconsin,Will Garlock,1.0,0.8,BIG-TEN
Nebraska,Kendall Blue,0.9,0.3,BIG-TEN
Ohio State,Colin White,0.9,0.4,BIG-TEN
Oregon,Luke Johnson,0.9,0.1,BIG-TEN
Wisconsin,Jack Robison,0.9,0.1,BIG-TEN
Minnesota,Nehemiah Turner,0.7,0.3,BIG-TEN
Wisconsin,Isaac Gard,0.7,0.1,BIG-TEN
Indiana,Aleksa Ristic,0.6,0.0,BIG-TEN
Michigan,Howard Eisley Jr.,0.6,0.0,BIG-TEN
Rutgers,Baye Fall,0.6,0.1,BIG-TEN
Indiana,Drew Snively,0.5,0.0,BIG-TEN
Michigan State,Brennan Walton,0.5,0.0,BIG-TEN
Michigan State,Denham Wojcik,0.5,1.3,BIG-TEN
Michigan State,Nick Sanders,0.5,0.1,BIG-TEN
Northwestern,Phoenix Gill,0.5,0.3,BIG-TEN
UCLA,Anthony Peoples Jr.,0.5,0.0,BIG-TEN
UCLA,Jack Seidler,0.5,0.0,BIG-TEN
Indiana,Ian Stephens,0.4,0.0,BIG-TEN
Iowa,Jacob Koch,0.4,0.2,BIG-TEN
Illinois,Blake Fagbemi,0.3,0.5,BIG-TEN
Michigan State,Colin Walton,0.3,0.0,BIG-TEN
Rutgers,Gevonte Ware,0.3,0.0,BIG-TEN
Nebraska,Justin Bolis,0.1,0.1,BIG-TEN
Indiana,Tryce Grensing,0.0,0.0,BIG-TEN
Minnesota,Maximus Gizzi,0.0,0.0,BIG-TEN
Minnesota,RJ Spencer,0.0,0.0,BIG-TEN
Ohio State,Braylen Nash,0.0,0.2,BIG-TEN
Oregon,Miles Stewart,0.0,0.0,BIG-TEN
Penn State,Chris Lotito,0.0,0.0,BIG-TEN
Purdue,Jace Rayl,0.0,0.0,BIG-TEN
Purdue,Jack Lusk,0.0,0.0,BIG-TEN
Southern California,Jonah Goorin,0.0,0.0,BIG-TEN
Southern California,Patrick O'Brien,0.0,0.0,BIG-TEN
UCLA,Christian Horry,0.0,0.3,BIG-TEN
Washington,Brandon Roy Jr.,0.0,0.0,BIG-TEN
Wisconsin,Riccardo Greppi,0.0,0.2,BIG-TEN
Xavier,Tre Carroll,18.6,2.7,BIG-EAST
Butler,Finley Bizjack,17.5,2.5,BIG-EAST
Providence,Jason Edwards,17.3,3.2,BIG-EAST
Providence,Jaylin Sellers,17.3,1.7,BIG-EAST
Marquette,Nigel James Jr.,16.1,4.9,BIG-EAST
Butler,Michael Ajayi,16.0,3.2,BIG-EAST
St. John's (NY),Zuby Ejiofor,15.9,3.4,BIG-EAST
Providence,Stefan Vaaks,15.7,3.2,BIG-EAST
Georgetown,KJ Lewis,15.3,2.6,BIG-EAST
Marquette,Chase Ross,14.5,3.5,BIG-EAST
Connecticut,Solomon Ball,14.2,1.5,BIG-EAST
DePaul,CJ Gunn,14.0,2.0,BIG-EAST
St. John's (NY),Bryce Hopkins,14.0,2.1,BIG-EAST
Georgetown,Malik Mack,13.9,4.2,BIG-EAST
Villanova,Tyler Perkins,13.8,1.6,BIG-EAST
Connecticut,Tarris Reed Jr.,13.6,2.3,BIG-EAST
Connecticut,Alex Karaban,12.9,2.2,BIG-EAST
Villanova,Acaden Lewis,12.6,5.3,BIG-EAST
Seton Hall,Adam Clark,12.5,4.7,BIG-EAST
Marquette,Royce Parham,12.4,0.9,BIG-EAST
Connecticut,Braylon Mullins,12.3,1.2,BIG-EAST
Villanova,Bryce Lindsay,12.2,2.2,BIG-EAST
Creighton,Josh Dix,12.1,2.5,BIG-EAST
Providence,Jamier Jones,12.1,1.5,BIG-EAST
Villanova,Duke Brennan,12.1,1.8,BIG-EAST
Xavier,Jovan Milicevic,12.0,1.4,BIG-EAST
Seton Hall,A.J. Staton-McCray,11.9,1.3,BIG-EAST
DePaul,Layden Blocker,11.5,3.6,BIG-EAST
Connecticut,Silas Demary Jr.,11.4,6.5,BIG-EAST
DePaul,N.J. Benson,11.2,1.3,BIG-EAST
Xavier,Malik Moore,11.2,4.0,BIG-EAST
Georgetown,Vincent Iwuchukwu,11.1,0.5,BIG-EAST
Creighton,Austin Swartz,10.9,1.5,BIG-EAST
St. John's (NY),Oziyah Sellers,10.9,1.9,BIG-EAST
Seton Hall,TJ Simpkins,10.5,1.3,BIG-EAST
St. John's (NY),Ian Jackson,10.4,1.3,BIG-EAST
Creighton,Jasen Green,10.1,2.2,BIG-EAST
Creighton,Nik Graves,10.1,3.9,BIG-EAST
Xavier,Roddie Anderson III,10.1,2.2,BIG-EAST
DePaul,Brandon Maclin,9.9,2.6,BIG-EAST
Butler,Jamie Kaiser,9.7,1.0,BIG-EAST
Xavier,Filip Borovicanin,9.6,4.3,BIG-EAST
Butler,Jalen Jackson,9.5,3.8,BIG-EAST
Georgetown,Julius Halaifonua,9.5,1.2,BIG-EAST
Villanova,Devin Askew,9.5,1.9,BIG-EAST
Villanova,Matthew Hodge,9.5,0.7,BIG-EAST
Georgetown,Caleb Williams,9.4,1.6,BIG-EAST
Creighton,Blake Harper,8.7,1.3,BIG-EAST
St. John's (NY),Dillon Mitchell,8.7,3.0,BIG-EAST
Providence,Ryan Mela,8.6,2.0,BIG-EAST
Marquette,Ben Gold,8.3,0.8,BIG-EAST
Providence,Corey Floyd Jr.,8.2,2.6,BIG-EAST
St. John's (NY),Joson Sanon,8.2,0.6,BIG-EAST
Marquette,Zaide Lowery,8.1,1.7,BIG-EAST
Butler,Yohan Traore,8.0,0.7,BIG-EAST
Xavier,All Wright,7.9,2.0,BIG-EAST
Butler,Evan Haywood,7.5,1.3,BIG-EAST
Providence,Oswin Erhunmwunse,7.4,0.7,BIG-EAST
DePaul,RJ Smith,7.3,2.5,BIG-EAST
Marquette,Adrien Stevens,7.3,1.6,BIG-EAST
St. John's (NY),Dylan Darling,7.2,2.3,BIG-EAST
Connecticut,Eric Reibe,7.1,0.6,BIG-EAST
Seton Hall,Mike Williams III,6.9,1.5,BIG-EAST
Creighton,Isaac Traudt,6.8,0.5,BIG-EAST
Creighton,Jackson McAndrew,6.8,0.5,BIG-EAST
Butler,Drayton Jones,6.6,1.3,BIG-EAST
Seton Hall,Elijah Fisher,6.5,0.7,BIG-EAST
Marquette,Sean Jones,6.3,3.9,BIG-EAST
Seton Hall,Stephon Payne III,6.3,0.6,BIG-EAST
